id,space
1,这个毋庸置疑，***的车型空间方面都挺有优势，后排坐3人无压力，我175坐前排是绰绰有余的。
2,空间很大尤其后备箱，特别适合家用，出去旅游。
3,后排坐下去有三拳的距离
4,非常够用
5,空间不错，前排调整到舒适的距离，后排腿部空间还很充足，不会觉得局促，头部空间也不错。自驾出游的话，后备箱空间比较充足，很实用
6,前后左右空间够大，SUV就是不一样，又是全景天窗，再大的个头都没问题。唯一就是后备箱小了点，净身短了
7,空间很大，尤其是后排空间，可以跷二郎腿。但是后备箱有点偏小，但是后排座椅可以放平，这就弥补了
8,还算是过得去，如果大一点点，就好多了。
9,真的很大，尤其是后排空间，腿部空间非常宽裕。
10,空间就不多说了，2660的轴距，够用，而且拉了三个大人也不会觉得拥挤，后备箱空间也不错，拉了3个行李箱也不是问题，老婆最喜欢副驾驶下面的储物盒，可以放高跟鞋
11,很满意，280斤的胖子后排一点都不挤
12,本人183cm，108Kg。咳咳咳，大家懂的。结果坐车上完全够用。一般车子我坐前面，后面基本坐不下人。但是360完全没有这个问题，后备箱的空间我就不多说咯，大家都知道的事儿。
13,前后排都很宽敞，后排座椅放平之后，空间更大，再加上全景天窗，可以让我实现很多浪漫的计划。
14,看中这款车很多方面就是因为它的大空间吸引了我，后排的空间都和一些中级车接近了，后备箱规整每次回老家都要带身上满满的一车也没压力，这也是我非常满意的地方
15,我身高183，调整好驾驶座后感觉高度空间表现一般，头部空间小。副驾空间还可以。但后排空间确实有点紧张。后排腿部空间有点小。其他还可以。储物空间，它有个大大的后备箱，我觉得家庭够用，室内的储物盒大小也还可以，够用，门护板储物格高度略微不厚，放东西老掉。手套箱不够大，放完说明书基本没地了，而且手套箱里边不是密封的，东西大了可能会掉进仪表台内部，不方便。其他都还行。
16,后排空间很大，后备箱干湿分离储物盒很不错
17,空间没得说后面做３个人太轻松了，后备箱放到也好似平的平时出去旅游什么的都够塞的。
18,空间还不错！家庭使用足够了！
19,空间挺好的，坐着也舒服
20,后排空间很大，坐着脚可以随便放，不像其他车，后面坐了动也不能动，后备箱也很大，除了可以放我的鱼箱和鱼竿外，还可以放很多其他杂七杂八的东西
21,内部空间很大，腿部空间和头部空间都有很大的余地，后备箱空间也是令人满意的地方，平时出去旅游野餐等设备都可以塞进去，哈哈。
22,空间做的很到位，***的车子主打家用空间都挺大，后排空间也做的挺大没有感觉很压抑
23,乘坐空间很大，储物空间设计合理
24,很大，车也大
25,不是一般的大，而是大到没朋友的那种，后排还支持放倒，给赞！
26,后排乘坐空间很大，就是后备箱不算大，不过也够用
27,挺宽敞的，最喜欢的就是它的空间了，感觉和360一个级别的轿车的话我感觉这个是数一数二的了，我个人喜欢空间大的。坐人特别方便，心里边感觉也安全。
28,"很宽敞,后排空间比同价位级别车要大,后备箱也超级宽敞,满足家用是没有问题的."
29,空间大，主副驾驶反正没的说，后排坐着是真的舒服，后排坐3个大汉基本没问题，中间的没有凸起来的地方。
30,空间很开阔，家里一共四口人，主驾位调好座椅后后排空间仍然也很不错的空间，家人也说比起以前的轿车大的多。
31,够大了，1.8米坐进去也没有什么挤，头部还有很大距离，后面坐3个人也一点都感觉不到挤而且腿部分空间还有。
32,空间大，乘坐5人轻轻松松
33,对于紧凑车差不多了
34,空间很大，可以容纳很多东西，
35,空间非常不错，这也是SUV的优势所在，家里一共3个大人，一个宝宝，外出非常方便，后备箱的容积很大，宝宝的手推车很容易就放进去了。
36,上面说了，车内空间是买这辆车最满意的地方，后备箱空间也够大，出去玩一家人的行李能放的下
37,大气
38,轴距2米66，真的是这个车的空间坐着很舒服，后备箱482升超大，外出旅行非常方便！
39,空间很大，坐在里面感觉很敞亮，后备箱也挺大的
40,空间足够大，不敢使后备箱的还是车内空间都没话说
41,大，大，大，超大的空间
42,空间前后排都么得话 主副电动座椅 后排腿部空间巨大，后备箱下面还有储物空间 很人性化。
43,同级别车比有优势
44,同级别中，我感觉是足够大了，***在空间上从来都不吝啬，后排座椅放倒之后，躺下两三个人都没问题，不管自驾游还是家用都妥妥的。
45,比较适中
46,空间还是很不错的，驾驶位置调节到宽敞位置上，后排非常宽敞，坐三个人也是可以的，后备箱储物空间很大，足够放东西，而且后排座椅还支持4/6分割放倒，这样放大件的东西也没问题了。
47,"空间：这个必须好好说，空间够大、够宽敞，后排坐三个人完全没压力，周末带上3,5好友出去聚餐也不显拥挤，而且后备箱特能装，饮料食品堆放毫无压力，副驾驶前和车门的储物柜也能放一些杂物，***在这方面的考虑还是比较人性化的。"
48,乘坐空间还行，后排高度略差，前排非常满意，
49,后面朋友坐进去都说空间大，还有就是后备箱能装
50,空间宽大，坐着舒适，一米八身高座车里还有空间
51,空间非常不错，比起其他紧凑型车，350算中型车了，后备容量也很满意。
52,车子的后备空间还不错，过年那会回老家，走的时候奶奶给我塞了一大推吃的，外加一推杂七杂八的东西，结果很完美的就放下了，满意~
53,360的空间也是我比较满意的一点，相比其他同价位的车，空间宽敞不少，尤其后排空间，后备箱也很大，能装很多东西
54,空间在这个价位里，可以给满分了
55,空间合理布局很好，座椅舒适型不错。
56,买车的时候对比了同等价位的K3、科鲁兹。空间大没得说。后面挤3个大男人一点问题也没有。
57,可以睡觉的后备箱喔
58,还是比较不错的，前后排都不会很挤，后备箱也很大，一般家用足够了！
59,都还可以蛮大，特别是后备箱
60,前后及宽度方向十分宽敞，但驾驶位头部位置偏低
61,空间没的说，这个级别，不能说秒杀其他车，排名绝对靠前！右侧前后同时坐两个2*180 的胖子都不觉得拥挤。后备箱也大，内部也很规整。在老家拉过小麦去磨面，拉过花生去打油??
62,本人偏瘦1.71，感觉空间非常大了，后排更不用说，3个大个子轻松坐下。2705的轴距不是瞎说的。
63,空间挺大，后排坐3个人一点都不挤，腿还能伸开
64,最初看好一点就是空间大，头部腿部空间都很好，后备箱大，我来回还能拉点货。
65,空间足够的大，不管前排后排，调整到最舒适的角度，4个人坐进去非常的舒适
66,空间家用足够了。
67,很大…能满足所以需求
68,空间上绝对能秒杀同级车。
69,买车的时候对比了同等价位的K3、科鲁兹。空间大没得说。后面挤3个大男人一点问题也没有。
70,空间很大，特别是后排座，可以轻松翘起二郎腿，后排座椅也可以完全放平，整个储物空间变过1600升。
71,乘坐空间非常大，后备箱也是同级别最大的了
72,单身狗天天上班一个人开，空间绝对够用
73,同价位空间除了五菱，和宝骏，微面之类的，空间够用。
74,空间表现不错
75,1米1的小孩子在里面坐的很舒服。能放置的行李也很好，女人的行李都是两个大箱的了??
76,我175的身高做驾驶室还有一拳距离很满意，后排坐3个人也还可以，后备箱也大能发好多东西.
77,5个人一家人坐着妥妥的，后备箱可以放很多东西，去野营不成问题，
78,在这个级别的空间算上等货了吧，前后左右都能满足你的一般需求了，空间是很大的 没话可说，反正够宽的后排，而且后备箱是真的很装货咯。
79,驾驶室的空间挺不错，后排也挺好，坐进去之后不需要担心拥挤之类的。
80,"挺不错的，我175cm,200斤的胖子，做里面一点不觉得拥挤，后排就更加不用说了，我都可以平躺着，心里美滋滋的！"
81,很大很喜欢，我平时还用来装货很不错
82,前排合格，后排优秀，载物良好。
83,看着小，但是轴距摆在那里，做过后排的没有不夸几句350的后排空间的，我175开车头上的空间还有很大，老板那种快上190斤的胖子开着都说看着小开着还不错！
84,司机头顶空间小，后备箱还算大
85,空间还是比较不错的了，坐着宽敞又不压抑，跟我一些朋友的同级车比较了下***360的车空间算大了，就是座椅边的储物盒空间小了一点，感觉放不了多少东西，后备箱还挺满意的，听销售介绍后备箱多大多大以后老爸还开玩笑说可以把老妈放进去试试，虽然平时装得东西也不是很多，但是看着这么宽敞也舒服啊，嘿嘿。
86,空间很大！后排中间凸起来太高了，要不然更大
87,空间挺宽敞的，一家人坐在里面一点都不拥挤！有时候孩子多了，坐起来也舒服！后排座椅放倒，拉个大件的东西也方便！
88,360空间挺大，后备箱够大，可以放很多东西
89,宽敞舒服，后备箱可以，没有压抑感
90,空间非常大，这是最大的亮点
91,家用还是够了，前面放东西的地方挺多的，但是都不是太大。后备箱不错，挺能装。
92,家用足够
93,感觉空间非常大，非常适合家庭来用，而且后备箱的空间特别大，特别喜欢。
94,家里是做生意的，家里有个霸道。空间那是绝对的够用，我这小车也是绝不逊色，拉着我的爸爸妈妈，爷爷奶奶那也是一点都不挤呢。
95,很宽敞。
96,"空间可以,后排再长点就好了!"
97,紧凑型车里面是完全可以接受的
98,空间可以，五个成人没问题。
99,空间挺大，全家人带孩子出去去哪儿串门，带很多东西一点都不觉得小，这一点不错，挺满意的
100,空间大，后排空间也大，家里的小孩老人坐起来很舒适，椅背还可以三级可调，不错，非常好。
101,我178的个头，按照我的驾驶习惯调整好座椅之后，后排空间还是很不错的，翘二郎腿也是可以的。
102,A级车中这款车的空间还算不错，大的
103,空间还可以、毕竟车子就那么大、家里够用就行
104,空间还算满意，我坐入车内后头顶离车大概还有一拳两指左右，后排乘客腿部离座椅也有2拳左右，还算满意。
105,空间的话还可以了，足够家用
106,空间很不错。
107,空间大的没谱，A咖吗，车本身很宽，1.8米的宽度，后排坐三人比较轻松，后备箱也是我比较中意的，因为平时周末没事一家三口出去玩，带着孩子的小车，防潮垫，野餐垫，小帐篷等等，统统都可以放得进去。
108,空间确实不错，家里一家老小做车里不觉得拥挤，还有一个孩子，后排空间还算满意，孩子可以自由活动
109,空间还是不错的，我身高184cm，前排调整好，后面还有一拳的腿部空间，三指的头部空间
110,乘坐空间比较大，尤其是后排空间感觉接近B级车了，后备箱空间也足够放东西了
111,一个字大！坐四五个人一点儿都不挤！
112,2700的轴距空间没得说，但是牺牲了后备箱空间。
113,刚才说了，完全满足甚至超越人们对一般紧凑家轿的要求，甚至有跨级别的表现。必须赞一个
114,在同级别SUV里面很出色，特别是后排空间，做3个成人毫无压力，翘个二郎腿完全没问题。
115,后排3人不成问题，后备箱很满意，放个渔具之类的很方便。车内的储物空间也很人性化。适合举家出游，空间是选择此车的一个重要原因。
116,后排坐4个人毫无压力
117,空间很满意，家用就看空间，出门坐人都不得挤，有时候回老家和兄弟开一个车就行了，人多才需要开2个，我们都在成都上班，所以有时候会约着一起回去。不过我买车后大多数都是开我的车回家，要更宽更大。我对后备箱也很满意，深度不错，可以摆放很多东西，有时候还能帮到厂里拉点东西出去，我自己买了个垫子来垫起，觉得这样更规整了。
118,非常满意，舒适度高，适合家庭成员多的家庭。
119,2.7米的轴距空间够用，后备箱开口稍小。
